DOI,Year,Title,Primary_Class,Primary_Desc,Secondary_Class,Secondary_Desc,Tertiary_Class,Tertiary_Desc,Reasoning
10.1016/j.jmmm.2025.173178,2025,"Structural, morphological, and magnetic characteristics of Co3+ metal ions doped MnFe2O4; novel spinel ferrites",12,Material - Formulation,14,Material - Evaluation / Characterization,13,Material - Properties,"Abstract focuses on the ""sol–gel nanocrystal growth route"" (Formulation) and extensive characterization using XRD, EDXS, FESEM (Evaluation)."
10.1063/5.0241131,2024,"Ferrofluids and magnetism in the oil industry: Theories, challenges, and current applications—A comprehensive review",50,Review - Survey,44,"Application - Geology, Oil-field recovery",13,Material - Properties,"Explicitly states it is a ""comprehensive review"" contextualizing ferrofluids in ""oil recovery and transportation""."
10.1080/15567036.2021.1998251,2025,Different methods of ferro-fluids production with their stability and its applications especially in internal combustion engines-a review,50,Review - Survey,46,Application - Application and/or implementation of Heat transfer,12,Material - Formulation,"Title and abstract identify it as a ""review"". Discusses ""engine performance"", ""cooling"", and ""production"" methods."
10.1016/j.ijmultiphaseflow.2024.105105,2025,A numerical study of stretch and breakup of a ferroliquid bridge under non-uniform magnetic field,22,"Computation - Computational Fluid Dynamics, CFD",29,"Computation - Magnetic droplets, Spin of droplet",25,Computation - Analysis of flow properties,"Uses ""simplified multiphase lattice Boltzmann method (SMLBM)"" (CFD) to study ""liquid bridges"" and ""breakup"" (Droplets)."
10.1016/j.apnum.2024.12.004,2025,"The linear, decoupled and fully discrete finite element methods for simplified two-phase ferrohydrodynamics model",21,"Computation - Finite Element Analysis, FEA",24,"Modelling - ODE, Boundary value problem, Two-phase",25,Computation - Analysis of flow properties,"Title explicitly mentions ""finite element methods"". Abstract discusses ""Cahn-Hilliard"" and ""Navier-Stokes"" equations (Modelling)."
10.1016/j.jmmm.2025.173329,2025,Magneto-viscous effect of a ferrofluid with long-range interactions,28,Computation  - Stability of the material and other,31,Experimentation - Other than just evaluation of the ferrofluid itself,10.5,"Material - Rheology, Viscosity"
10.1038/s41427-025-00587-7,2025,Comprehensive modelling of ferrofluids via dual dissipation mechanisms for multiplexed thermal activation,28,Computation  - Stability of the material and other,40,"Application - Medical (Hyperthermia, Cancer treatment, Drug delivery, etc.)",31,Experimentation - Other than just evaluation of the ferrofluid itself
10.1137/24M1640914,2025,EFFICIENT FULLY DISCRETE FINITE ELEMENT SCHEME FOR THE FERROHYDRODYNAMIC ROSENSWEIG MODEL AND SIMULATIONS OF FERROFLUID ROTATIONAL FLOW PROBLEMS,21,"Computation - Finite Element Analysis, FEA",22,"Computation - Computational Fluid Dynamics, CFD",28,Computation  - Stability of the material and other
10.1016/j.jcis.2025.01.256,2025,A coarse-grained model for aqueous two-phase systems: Application to ferrofluids,28,Computation  - Stability of the material and other,31,Experimentation - Other than just evaluation of the ferrofluid itself,15.5,Material - Aqueous
10.1088/1402-4896/adbd86,2025,Synthesis of Fe3O4-Zingiber officinale extract/ZnO/OA/DMSO ferrofluid as antimicrobial agent,14.5,Material - Synthesis,40,"Application - Medical (Hyperthermia, Cancer treatment, Drug delivery, etc.)",31,Experimentation - Other than just evaluation of the ferrofluid itself
10.1016/j.jmmm.2025.172922,2025,Field-induced particle dispersion in extremely bidisperse magnetorheological fluids,31,Experimentation - Other than just evaluation of the ferrofluid itself,38,Application - Using principles of magnetic Induction,17.5,Material - Magnetorheological fluids
10.1063/5.0245454,2025,Investigation of ferrofluid flow between torsionally oscillating disks,45,Application - Application and/or implementation of Flow,28,Computation  - Stability of the material and other,25.5,Computation - Viscosity/Flow
10.37934/cfdl.17.7.189205,2025,Ferrohydrodynamic on Heat Transfer in Hybrid Ferrofluid over an Elongation Sheet,46,Application - Application and/or implementation of Heat transfer,28,Computation  - Stability of the material and other,24.5,Material - Hybrid
10.1039/d5dt00281h,2025,Nonconductive ferrofluids from permanently magnetic nanoplatelets hybridized with polar phosphonic ligands,14.5,Material - Synthesis,24.0,Material - Coating/Surfactant,31,Experimentation - Other than just evaluation of the ferrofluid itself
10.1177/13506501241272575,2025,Numerical analysis of the effect of elastic deformation on the static characteristics of a circular journal bearing lubricated with a ferrofluid,28,Computation  - Stability of the material and other,43,"Application - Seals, Bearings, Lubrication",45,Application - Application and/or implementation of Flow
10.1063/5.0246798,2025,Effects of magnetic field and slippages on oscillating rigid spheres in magnetorheological ferrofluids,28,Computation  - Stability of the material and other,45,Application - Application and/or implementation of Flow,10.5,"Material - Rheology, Viscosity"
10.46754/jssm.2024.12.004,2024,"JOULE HEATING, THERMAL RADIATION AND SLIP EFFECTS ON MAGNETOHYDRODYNAMIC FLOW AND HEAT TRANSFER OVER AN EXPONENTIALLY STRETCHING/SHRINKING SHEET IN FERROFLUIDS",46,Application - Application and/or implementation of Heat transfer,28,Computation  - Stability of the material and other,13.5,Material - General/Properties
10.1007/s40096-021-00421-5,2024,Mathematical analysis of hybridized ferromagnetic nanofluid with induction of copper oxide nanoparticles in permeable channel by incorporating Darcy–Forchheimer relation,28,Computation  - Stability of the material and other,45,Application - Application and/or implementation of Flow,9.5,Material - Hybrid
